Date.Time,Sensor,Sapflow,Tree,Loc,Sapflow.st
2022-03-25T09:24:27Z,SAP.FLOW.TOTAL.1,2.064,2384,RT,0.408389394538979
2022-03-25T09:24:27Z,SAP.FLOW.TOTAL.2,4.394,2382,RT,0.6801857585139319
2022-03-25T09:24:27Z,SAP.FLOW.TOTAL.3,3.71,2010,RT,0.22306397306397305
2022-03-25T09:39:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T09:39:27Z,SAP.FLOW.TOTAL.1,2.56,2384,RT,0.5065294815987337
2022-03-25T09:39:27Z,SAP.FLOW.TOTAL.2,4.482,2382,RT,0.6938080495356037
2022-03-25T09:39:27Z,SAP.FLOW.TOTAL.3,5.309,2010,RT,0.3192039442039442
2022-03-25T09:54:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T09:54:27Z,SAP.FLOW.TOTAL.1,3.139,2384,RT,0.6210922041946972
2022-03-25T09:54:27Z,SAP.FLOW.TOTAL.2,4.56,2382,RT,0.7058823529411764
2022-03-25T09:54:27Z,SAP.FLOW.TOTAL.3,6.554,2010,RT,0.39405964405964405
2022-03-25T10:09:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T10:09:27Z,SAP.FLOW.TOTAL.1,3.338,2384,RT,0.6604669568658488
2022-03-25T10:09:27Z,SAP.FLOW.TOTAL.2,4.755,2382,RT,0.7360681114551083
2022-03-25T10:09:27Z,SAP.FLOW.TOTAL.3,4.352,2010,RT,0.26166426166426165
2022-03-25T10:24:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T10:24:27Z,SAP.FLOW.TOTAL.1,3.774,2384,RT,0.7467352592006331
2022-03-25T10:24:27Z,SAP.FLOW.TOTAL.2,4.856,2382,RT,0.7517027863777089
2022-03-25T10:24:27Z,SAP.FLOW.TOTAL.3,7.395,2010,RT,0.44462481962481953
2022-03-25T10:39:28Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T10:39:28Z,SAP.FLOW.TOTAL.1,4.24,2384,RT,0.8389394538979027
2022-03-25T10:39:28Z,SAP.FLOW.TOTAL.2,4.83,2382,RT,0.7476780185758514
2022-03-25T10:39:28Z,SAP.FLOW.TOTAL.3,9.661,2010,RT,0.5808682058682058
2022-03-25T10:54:28Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T10:54:28Z,SAP.FLOW.TOTAL.1,4.385,2384,RT,0.8676296003165809
