tree,site,plot,species.x,week,md_mpa,md_lwc,pd_mpa,pd_lwc,longitude,latitude,name,description,species.y,e_drop,lat_utm,lon_utm,time
2347,LL,Hobbiton,blue oak,19,2.86033333333333,0.919680243623905,1.5556,0.988568706834961,-120.046757645207,34.6917281112039,B2347,sapflow probe 1,B,1.30473333333333,-369409.9920447273,-4281.8404103694575,late
2347,LL,Hobbiton,blue oak,21,2.86,0.818181818181818,1.934,0.917211328976035,-120.046757645207,34.6917281112039,B2347,sapflow probe 1,B,0.9259999999999999,-369409.9920447273,-4281.8404103694575,late
2347,LL,Hobbiton,blue oak,29,4.2,0.636344086021505,3.375,0.622371638141809,-120.046757645207,34.6917281112039,B2347,sapflow probe 1,B,0.8250000000000002,-369409.9920447273,-4281.8404103694575,late
2347,LL,Hobbiton,blue oak,33,4.4565,0.666062801932367,3.991,0.588323674608285,-120.046757645207,34.6917281112039,B2347,sapflow probe 1,B,0.4655,-369409.9920447273,-4281.8404103694575,late
2347,LL,Hobbiton,blue oak,37,3.5525,0.622602168473728,2.62333333333333,0.739592143595527,-120.046757645207,34.6917281112039,B2347,sapflow probe 1,B,0.9291666666666702,-369409.9920447273,-4281.8404103694575,late
2349,LL,Hobbiton,blue oak,10,3.355,0.646438615148292,1.98833333333333,0.593939393939394,-120.046835052378,34.6917466832933,B2349,NA,B,1.36666666666667,-369407.92703724,-4288.927968082945,early
2352,LL,MiddleEarth,live oak,9,2.274,NA,NA,NA,-120.047688056843,34.6905351492581,L2352,NA,L,NA,-369542.36873994814,-4367.109634858995,early
2352,LL,MiddleEarth,live oak,10,2.44166666666667,0.617558321601063,1.40666666666667,1.02742914979757,-120.047688056843,34.6905351492581,L2352,NA,L,1.035,-369542.36873994814,-4367.109634858995,early
2352,LL,MiddleEarth,live oak,17,2.734,0.544943820224719,1.64725,0.563225506887479,-120.047688056843,34.6905351492581,L2352,NA,L,1.0867499999999999,-369542.36873994814,-4367.109634858995,NA
2352,LL,MiddleEarth,live oak,19,2.216,0.600338218714769,1.75383333333333,0.821773485513608,-120.047688056843,34.6905351492581,L2352,NA,L,0.46216666666667017,-369542.36873994814,-4367.109634858995,late
2352,LL,MiddleEarth,live oak,29,5.6,0.402107728337237,2.5425,0.558181818181818,-120.047688056843,34.6905351492581,L2352,NA,L,3.0574999999999997,-369542.36873994814,-4367.109634858995,late
2354,LL,MiddleEarth,live oak,9,1.7684,NA,NA,NA,-120.047607340709,34.6906142262884,L2354,NA,L,NA,-369533.5948852254,-4359.713519574736,early
2354,LL,MiddleEarth,live oak,10,1.985,0.667618629186894,2.47975,0.674120622085719,-120.047607340709,34.6906142262884,L2354,NA,L,-0.49475,-369533.5948852254,-4359.713519574736,early
2354,LL,MiddleEarth,live oak,12,2.755,NA,0.973333333333333,NA,-120.047607340709,34.6906142262884,L2354,NA,L,1.7816666666666667,-369533.5948852254,-4359.713519574736,early
